# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 8)

# Run progress: 0.00% complete, ETA 04:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 305414.249 ops/s
# Warmup Iteration   2: 306872.883 ops/s
# Warmup Iteration   3: 307790.495 ops/s
# Warmup Iteration   4: 302652.755 ops/s
# Warmup Iteration   5: 303462.184 ops/s
# Warmup Iteration   6: 302816.153 ops/s
# Warmup Iteration   7: 304607.851 ops/s
# Warmup Iteration   8: 306433.575 ops/s
# Warmup Iteration   9: 308872.547 ops/s
# Warmup Iteration  10: 309244.136 ops/s
                 ·gc.churn.G1_Eden_Space.norm:     3718.620 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.005 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         16.000 ms

Iteration   3: 310434.902 ops/s
                 ·class.load:                      15269.861 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   975.430 MB/sec
                 ·gc.alloc.rate.norm:              3566.502 B/op
                 ·gc.churn.G1_Eden_Space:          961.732 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3516.417 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms


# Run progress: 2.50% complete, ETA 04:27:49
# Fork: 4 of 5
# Warmup Iteration   1: 314416.007 ops/s
# Warmup Iteration   2: 319526.270 ops/s
# Warmup Iteration   3: 319461.043 ops/s
# Warmup Iteration   4: 319914.521 ops/s
# Warmup Iteration   5: 320086.145 ops/s
# Warmup Iteration   6: 319301.276 ops/s
# Warmup Iteration   7: 319057.495 ops/s
# Warmup Iteration   8: 319440.964 ops/s
# Warmup Iteration   9: 319644.662 ops/s
# Warmup Iteration  10: 319443.163 ops/s
Iteration   1: 319536.590 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1031.896 MB/sec
                 ·gc.alloc.rate.norm:              3560.136 B/op
                 ·gc.churn.G1_Eden_Space:          1048.453 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3617.258 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         15.000 ms

Iteration   2: 319917.361 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1033.417 MB/sec
                 ·gc.alloc.rate.norm:              3560.136 B/op
                 ·gc.churn.G1_Eden_Space:          1048.727 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3612.876 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         15.000 ms

Iteration   3: 319491.310 ops/s
                 ·class.load:                      15296.429 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1002.087 MB/sec
                 ·gc.alloc.rate.norm:              3566.325 B/op
                 ·gc.churn.G1_Eden_Space:          1016.613 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3618.023 B/op
                 ·gc.churn.G1_Survivor_Space:      0.004 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.013 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         15.000 ms


# Run progress: 3.33% complete, ETA 04:25:32
# Fork: 5 of 5
# Warmup Iteration   1: 313685.381 ops/s
# Warmup Iteration   2: 309350.028 ops/s
# Warmup Iteration   3: 309696.175 ops/s
# Warmup Iteration   4: 309667.063 ops/s
# Warmup Iteration   5: 309467.651 ops/s
# Warmup Iteration   6: 309367.895 ops/s
# Warmup Iteration   7: 309723.262 ops/s
# Warmup Iteration   8: 309609.214 ops/s
# Warmup Iteration   9: 309492.457 ops/s
# Warmup Iteration  10: 309636.015 ops/s
Iteration   1: 309750.263 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1000.457 MB/sec
                 ·gc.alloc.rate.norm:              3560.139 B/op
                 ·gc.churn.G1_Eden_Space:          1048.389 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3730.705 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.006 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         16.000 ms

Iteration   2: 309072.068 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   998.423 MB/sec
                 ·gc.alloc.rate.norm:              3560.129 B/op
                 ·gc.churn.G1_Eden_Space:          990.514 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3531.928 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms

Iteration   3: 309402.092 ops/s
                 ·class.load:                      15311.888 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   969.646 MB/sec
                 ·gc.alloc.rate.norm:              3566.524 B/op
                 ·gc.churn.G1_Eden_Space:          959.216 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3528.162 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.009 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms



Result "trile.ConcurrencyBenchmark.coroutine":
  311943.996 ±(99.9%) 4315.413 ops/s [Average]
  (min, avg, max) = (309072.068, 311943.996, 319917.361), stdev = 4036.640
  CI (99.9%): [307628.583, 316259.409] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load":
  5085.491 ±(99.9%) 7958.758 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5085.491, 15338.921), stdev = 7444.627
  CI (99.9%): [≈ 0, 13044.249] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load.norm":
  ≈ 10⁻⁴ classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate":
  998.614 ±(99.9%) 19.988 MB/sec [Average]
  (min, avg, max) = (967.262, 998.614, 1033.417), stdev = 18.697
  CI (99.9%): [978.626, 1018.602] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate.norm":
  3562.248 ±(99.9%) 3.311 B/op [Average]
  (min, avg, max) = (3560.128, 3562.248, 3566.536), stdev = 3.097
  CI (99.9%): [3558.937, 3565.558] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space":
  1007.954 ±(99.9%) 33.379 MB/sec [Average]
  (min, avg, max) = (959.216, 1007.954, 1048.833), stdev = 31.223
  CI (99.9%): [974.575, 1041.333] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space.norm":
  3595.598 ±(99.9%) 96.777 B/op [Average]
  (min, avg, max) = (3512.187, 3595.598, 3738.529), stdev = 90.525
  CI (99.9%): [3498.821, 3692.375] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space":
  0.002 ±(99.9%) 0.001 MB/sec [Average]
  (min, avg, max) = (0.002, 0.002, 0.004), stdev = 0.001
  CI (99.9%): [0.002, 0.003] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space.norm":
  0.009 ±(99.9%) 0.003 B/op [Average]
  (min, avg, max) = (0.005, 0.009, 0.013), stdev = 0.003
  CI (99.9%): [0.006, 0.012] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.count":
  262.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (17.000, 17.467, 18.000), stdev = 0.516
  CI (99.9%): [262.000, 262.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.time":
  225.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (14.000, 15.000, 16.000), stdev = 0.655
  CI (99.9%): [225.000, 225.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 64)

# Run progress: 4.17% complete, ETA 04:23:15
# Fork: 1 of 5
# Warmup Iteration   1: 308645.506 ops/s
# Warmup Iteration   2: 309744.052 ops/s
# Warmup Iteration   3: 309779.942 ops/s
# Warmup Iteration   4: 309123.394 ops/s
# Warmup Iteration   5: 309449.739 ops/s
# Warmup Iteration   6: 309087.376 ops/s
# Warmup Iteration   7: 309215.369 ops/s
# Warmup Iteration   8: 309022.762 ops/s
# Warmup Iteration   9: 309335.081 ops/s
# Warmup Iteration  10: 308968.344 ops/s
Iteration   1: 308848.736 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   997.393 MB/sec
                 ·gc.alloc.rate.norm:              3560.131 B/op
                 ·gc.churn.G1_Eden_Space:          990.394 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3535.151 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.005 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         17.000 ms

Iteration   2: 309301.139 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   999.093 MB/sec
                 ·gc.alloc.rate.norm:              3560.129 B/op
                 ·gc.churn.G1_Eden_Space:          990.437 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3529.284 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         17.000 ms

Iteration   3: 309257.786 ops/s
                 ·class.load:                      15283.005 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   970.939 MB/sec
                 ·gc.alloc.rate.norm:              3566.533 B/op
                 ·gc.churn.G1_Eden_Space:          1017.467 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3737.443 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         18.000 ms


# Run progress: 5.00% complete, ETA 04:20:57
# Fork: 2 of 5
# Warmup Iteration   1: 313885.149 ops/s
# Warmup Iteration   2: 319180.717 ops/s
# Warmup Iteration   3: 319658.050 ops/s
# Warmup Iteration   4: 319733.401 ops/s
# Warmup Iteration   5: 320052.561 ops/s
# Warmup Iteration   6: 319233.398 ops/s
# Warmup Iteration   7: 317749.930 ops/s
# Warmup Iteration   8: 319458.037 ops/s
# Warmup Iteration   9: 319561.569 ops/s
# Warmup Iteration  10: 319629.533 ops/s
Iteration   1: 319880.440 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1033.368 MB/sec
                 ·gc.alloc.rate.norm:              3560.132 B/op
                 ·gc.churn.G1_Eden_Space:          1049.542 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3615.857 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.006 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         16.000 ms

Iteration   2: 320115.458 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1034.078 MB/sec
                 ·gc.alloc.rate.norm:              3560.132 B/op
                 ·gc.churn.G1_Eden_Space:          1048.756 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3610.664 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         15.000 ms

Iteration   3: 317280.321 ops/s
                 ·class.load:                      15288.214 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   995.306 MB/sec
                 ·gc.alloc.rate.norm:              3566.371 B/op
                 ·gc.churn.G1_Eden_Space:          1017.122 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3644.543 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         26.000 ms


# Run progress: 5.83% complete, ETA 04:18:39
# Fork: 3 of 5
# Warmup Iteration   1: 310659.047 ops/s
# Warmup Iteration   2: 319878.022 ops/s
# Warmup Iteration   3: 319207.832 ops/s
# Warmup Iteration   4: 319416.701 ops/s
# Warmup Iteration   5: 319245.579 ops/s
# Warmup Iteration   6: 319502.291 ops/s
# Warmup Iteration   7: 319376.623 ops/s
# Warmup Iteration   8: 319111.874 ops/s
# Warmup Iteration   9: 319498.486 ops/s
# Warmup Iteration  10: 319381.581 ops/s
Iteration   1: 319378.591 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1031.639 MB/sec
                 ·gc.alloc.rate.norm:              3560.132 B/op
                 ·gc.churn.G1_Eden_Space:          1048.692 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3618.982 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         17.000 ms

Iteration   2: 317911.224 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1026.937 MB/sec
                 ·gc.alloc.rate.norm:              3560.133 B/op
                 ·gc.churn.G1_Eden_Space:          1048.900 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3636.274 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.010 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         16.000 ms

Iteration   3: 319591.560 ops/s
                 ·class.load:                      15353.404 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   998.703 MB/sec
                 ·gc.alloc.rate.norm:              3566.316 B/op
                 ·gc.churn.G1_Eden_Space:          956.707 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3416.353 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.009 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms


# Run progress: 6.67% complete, ETA 04:16:22
# Fork: 4 of 5
# Warmup Iteration   1: 309506.163 ops/s
# Warmup Iteration   2: 308857.035 ops/s
# Warmup Iteration   3: 308288.154 ops/s
# Warmup Iteration   4: 308624.201 ops/s
# Warmup Iteration   5: 307484.535 ops/s
# Warmup Iteration   6: 308399.831 ops/s
# Warmup Iteration   7: 308406.107 ops/s
# Warmup Iteration   8: 308654.371 ops/s
# Warmup Iteration   9: 308255.474 ops/s
# Warmup Iteration  10: 308768.379 ops/s
Iteration   1: 309372.886 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   999.305 MB/sec
                 ·gc.alloc.rate.norm:              3560.131 B/op
                 ·gc.churn.G1_Eden_Space:          991.183 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3531.196 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms

Iteration   2: 307782.429 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   994.202 MB/sec
                 ·gc.alloc.rate.norm:              3560.130 B/op
                 ·gc.churn.G1_Eden_Space:          990.455 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3546.713 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.009 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms

Iteration   3: 308330.160 ops/s
                 ·class.load:                      15266.704 classes/sec
